punkt_końcowy, ilość
[0, 273]
[-6, 267]
[2, 264]
[4, 256]
[-2, 253]
[-4, 251]
[10, 247]
[6, 247]
[-12, 236]
[14, 229]
[-14, 225]
[-8, 223]
[8, 222]
[-18, 220]
[12, 217]
[-20, 216]
[18, 215]
[22, 213]
[-16, 209]
[16, 209]
[-10, 209]
[26, 204]
[24, 203]
[-22, 202]
[-24, 197]
[28, 189]
[20, 189]
[-30, 183]
[-28, 175]
[-34, 161]
[-26, 153]
[32, 151]
[-36, 151]
[30, 149]
[-32, 146]
[34, 132]
[-40, 129]
[36, 121]
[40, 119]
[38, 119]
[-38, 114]
[-42, 112]
[44, 99]
[46, 97]
[42, 90]
[-46, 88]
[50, 87]
[-44, 84]
[-48, 83]
[48, 79]
[-50, 69]
[-56, 68]
[52, 66]
[-54, 63]
[54, 58]
[58, 55]
[-58, 51]
[-52, 50]
[-60, 48]
[56, 48]
[66, 38]
[60, 36]
[62, 35]
[-64, 28]
[-62, 28]
[68, 25]
[-66, 24]
[70, 24]
[74, 20]
[-70, 20]
[64, 20]
[-68, 18]
[-72, 18]
[78, 18]
[-84, 16]
[72, 15]
[-76, 13]
[-74, 12]
[76, 12]
[82, 10]
[80, 10]
[-78, 10]
[-82, 7]
[-86, 6]
[-80, 6]
[86, 5]
[84, 5]
[88, 4]
[90, 4]
[98, 3]
[-90, 3]
[100, 3]
[-88, 2]
[106, 2]
[-92, 2]
[-106, 2]
[118, 1]
[128, 1]
[96, 1]
[102, 1]
[-98, 1]
[-94, 1]
[94, 1]
[-104, 1]
[-114, 1]
[104, 1]
[-100, 1]
[-112, 1]
[-108, 1]
